seed,model,variant,condition,n,positives,prevalence,average_precision,roc_auc,brier,positive_brier,negative_brier,log_loss,ece_15,mean_probability,accuracy_at_half,frozen_threshold,frozen_alerts,frozen_alert_rate,frozen_tp,frozen_fp,frozen_precision,frozen_recall
29,word_balanced,calibrated,benign_context,40000,200,0.005,0.039504457753748494,0.9453244974874373,0.07809877412172175,2.4399383180724416e-10,0.0784912302718611,0.928511184231699,0.07813155817811154,0.08313155817811155,0.9219,0.001743320624336305,3494,0.08735,200,3294,0.057240984544934176,1.0
29,word_balanced,raw,combined,40000,200,0.005,0.029917056237656472,0.9199015075376884,0.08033423577594802,0.558370417189476,0.07793204390954837,0.44294301212193515,0.08302614987577112,0.08339524687227406,0.917825,0.0806089154166042,3469,0.086725,175,3294,0.050446814643989625,0.875
29,word_balanced,calibrated,combined,40000,200,0.005,0.029917056237656472,0.9199015075376884,0.08207523142253294,0.7952914604062307,0.0784912302718611,0.9470521160032885,0.08240990575117597,0.07878865516554451,0.9173,0.001743320624336305,3469,0.086725,175,3294,0.050446814643989625,0.875
29,word_balanced,raw,combined_0.25,40000,200,0.005,0.12992335202528077,0.9851345477386935,0.019169588725246815,0.12814083631527645,0.01862199451625169,0.10886924493985978,0.023097359243191177,0.027125003339349422,0.980475,0.0806089154166042,1117,0.027925,195,922,0.17457475380483437,0.975
29,word_balanced,calibrated,combined_0.25,40000,200,0.005,0.12992335202528077,0.9851345477386935,0.01950212408614845,0.1854470170914761,0.018668230151448313,0.22504133232091136,0.019590791399407503,0.022558768826746078,0.9803,0.001743320624336305,1117,0.027925,195,922,0.17457475380483437,0.975
29,word_balanced,raw,combined_0.50,40000,200,0.005,0.06365625677420403,0.9668560301507538,0.03913327359616615,0.2539241787402929,0.03805392231403486,0.21827503326488895,0.0423381029183824,0.045674158306269384,0.960025,0.0806089154166042,1888,0.0472,189,1699,0.10010593220338983,0.945
29,word_balanced,calibrated,combined_0.50,40000,200,0.005,0.06365625677420403,0.9668560301507538,0.03988971667397808,0.3630362363192724,0.03826586481646403,0.46148732144368443,0.04003673124766329,0.041112506217029325,0.959825,0.001743320624336305,1888,0.0472,189,1699,0.10010593220338983,0.945
29,word_balanced,raw,combined_0.75,40000,200,0.005,0.03948686809738973,0.9433547738693466,0.060994676883465854,0.4080128140559281,0.059250867148930866,0.3377190088623833,0.06366020920144715,0.06579177801711616,0.937725,0.0806089154166042,2727,0.068175,180,2547,0.066006600660066,0.9
29,word_balanced,calibrated,combined_0.75,40000,200,0.005,0.03948686809738973,0.9433547738693466,0.06220176348391826,0.5705271463165571,0.059647364575211526,0.7196509589474233,0.06244673202340631,0.0612521383559191,0.937375,0.001743320624336305,2727,0.068175,180,2547,0.066006600660066,0.9
29,word_unweighted,raw,id,40000,200,0.005,1.0,1.0,0.0005506633072229633,0.10828766244806984,9.271351741320727e-06,0.0035278105737310567,0.0031647184841646497,0.004940408963735523,1.0,0.023331547355651277,393,0.009825,200,193,0.5089058524173028,1.0
29,word_unweighted,calibrated,id,40000,200,0.005,1.0,1.0,1.606509678704865e-06,0.00032081468259130276,2.4485082898002337e-09,6.982815568905381e-05,6.900574279676567e-05,0.004938101723973356,1.0,0.00018139992430566714,393,0.009825,200,193,0.5089058524173028,1.0
29,word_unweighted,raw,positive_paraphrase,40000,200,0.005,0.5186348151130928,0.9953282663316583,0.004691290885758008,0.9364131781550787,9.271351741320727e-06,0.019914908841143945,0.0032845206419395644,0.0017154793580604355,0.995,0.023331547355651277,308,0.0077,115,193,0.37337662337662336,0.575
29,word_unweighted,calibrated,positive_paraphrase,40000,200,0.005,0.5186348151130928,0.9953282663316583,0.004984244250706866,0.9968483628882235,2.4485082898002337e-09,0.04165782974976539,0.0049885315803647485,1.1468419635251243e-05,0.995,0.00018139992430566714,308,0.0077,115,193,0.37337662337662336,0.575
29,word_unweighted,raw,benign_context,40000,200,0.005,0.044471044060046365,0.9493403266331657,0.040231934487423425,0.10828766244806984,0.03988994590470661,0.10167785411308482,0.05533582418121856,0.060312456354655444,0.9219,0.023331547355651277,3500,0.0875,200,3300,0.05714285714285714,1.0
29,word_unweighted,calibrated,benign_context,40000,200,0.005,0.044471044060046365,0.9493403266331657,0.0768767007546754,0.00032081468259130276,0.07726140369976126,0.4044018802576166,0.07742083585945567,0.08242083585945567,0.9219,0.00018139992430566714,3500,0.0875,200,3300,0.05714285714285714,1.0
29,word_unweighted,raw,combined,40000,200,0.005,0.028769265013280566,0.9172265075376884,0.044372562065958465,0.9364131781550787,0.03988994590470661,0.1180649523804977,0.05890244572103098,0.05708752674898036,0.9169,0.023331547355651277,3415,0.085375,115,3300,0.03367496339677892,0.575
29,word_unweighted,calibrated,combined,40000,200,0.005,0.028769265013280566,0.9172265075376884,0.08185933849570357,0.9968483628882235,0.07726140369976126,0.4459898818516929,0.08247188100935098,0.07749420255511756,0.9169,0.00018139992430566714,3415,0.085375,115,3300,0.03367496339677892,0.575
29,char_balanced,raw,id,40000,200,0.005,1.0,1.0,8.445257973785468e-05,2.3125594593236673e-05,8.476075554260151e-05,0.004276650046903298,0.004231813037231221,0.009186215810254094,1.0,0.07388740306747044,402,0.01005,200,202,0.4975124378109453,1.0
29,char_balanced,calibrated,id,40000,200,0.005,1.0,1.0,1.2674629192775856e-07,3.1670614475303724e-10,1.2738161647943198e-07,2.9805070175571395e-05,2.974145921659666e-05,0.005029609597836496,1.0,0.0018588164405073451,402,0.01005,200,202,0.4975124378109453,1.0
29,char_balanced,raw,positive_paraphrase,40000,200,0.005,0.8888701080076923,0.9987733668341708,0.0027443091893759905,0.5319944475222205,8.476075554260151e-05,0.011818463337922937,0.005431049117231942,0.005860582616662315,0.9963,0.07388740306747044,379,0.009475,177,202,0.46701846965699206,0.885
29,char_balanced,calibrated,positive_paraphrase,40000,200,0.005,0.8888701080076923,0.9987733668341708,0.0036483474585082107,0.7296441427599626,1.2738161647943198e-07,0.01731458526936541,0.003888819464723499,0.001111180535276501,0.995675,0.0018588164405073451,379,0.009475,177,202,0.46701846965699206,0.885
29,char_balanced,raw,benign_context,40000,200,0.005,0.7114466175768966,0.9962243718592965,0.07635898487589236,2.3125594593236673e-05,0.07674258215871296,0.3578542111277399,0.08103574462646433,0.08603574462646432,0.9219,0.07388740306747044,3507,0.087675,200,3307,0.057028799543769604,1.0
